t,joint1,joint2,joint3,joint4,joint5,joint6
4.2,0.366581,-0.270320,-0.533301,-0.325830,-0.160379,-0.049749
4.3,0.320744,-0.296454,-0.549665,-0.293837,-0.140326,-0.011897
4.4,0.273616,-0.321394,-0.563816,-0.257115,-0.119707,0.026147
4.5,0.225386,-0.345040,-0.575696,-0.216256,-0.098606,0.063770
4.6,0.176248,-0.367296,-0.585258,-0.171918,-0.077109,0.100366
4.7,0.126401,-0.388073,-0.592463,-0.124813,-0.055300,0.135348
4.8,0.076045,-0.407288,-0.597283,-0.075700,-0.033270,0.168152
4.9,0.025382,-0.424863,-0.599698,-0.025370,-0.011105,0.198251
5.0,-0.025382,-0.440727,-0.599698,0.025370,0.011105,0.225159
5.1,-0.076045,-0.454816,-0.597283,0.075700,0.033270,0.248445
5.2,-0.126401,-0.467074,-0.592463,0.124813,0.055300,0.267733
5.3,-0.176248,-0.477451,-0.585258,0.171918,0.077109,0.282713
5.4,-0.225386,-0.485906,-0.575696,0.216256,0.098606,0.293144
5.5,-0.273616,-0.492404,-0.563816,0.257115,0.119707,0.298858
5.6,-0.320744,-0.496919,-0.549665,0.293837,0.140326,0.299764
5.7,-0.366581,-0.499434,-0.533301,0.325830,0.160379,0.295846
5.8,-0.410942,-0.499937,-0.514790,0.352581,0.179787,0.287168
5.9,-0.453648,-0.498427,-0.494206,0.373659,0.198471,0.273870
6.0,-0.494527,-0.494911,-0.471632,0.388725,0.216356,0.256164
6.1,-0.533415,-0.489401,-0.447159,0.397535,0.233369,0.234337
6.2,-0.570155,-0.481921,-0.420885,0.399950,0.249443,0.208740
6.3,-0.604600,-0.472500,-0.392916,0.395929,0.264512,0.179783
6.4,-0.636609,-0.461177,-0.363366,0.385537,0.278517,0.147934
6.5,-0.666056,-0.447997,-0.332352,0.368942,0.291399,0.113705
6.6,-0.692820,-0.433013,-0.300000,0.346410,0.303109,0.077646
6.7,-0.716795,-0.416285,-0.266440,0.318305,0.313598,0.040337
6.8,-0.737883,-0.397881,-0.231807,0.285078,0.322824,0.002380
6.9,-0.756001,-0.377875,-0.196241,0.247264,0.330750,-0.035616
7.0,-0.771074,-0.356347,-0.159884,0.205471,0.337345,-0.073038
7.1,-0.783042,-0.333385,-0.122884,0.160372,0.342581,-0.109286
7.2,-0.791857,-0.309079,-0.085389,0.112693,0.346438,-0.143775
7.3,-0.797484,-0.283530,-0.047550,0.063201,0.348899,-0.175950
7.4,-0.799899,-0.256839,-0.009520,0.012691,0.349956,-0.205295
7.5,-0.799094,-0.229113,0.028549,-0.038022,0.349604,-0.231336
7.6,-0.795071,-0.200465,0.066503,-0.088124,0.347843,-0.253655
7.7,-0.787846,-0.171010,0.104189,-0.136808,0.344683,-0.271892
7.8,-0.777449,-0.140866,0.141455,-0.183291,0.340134,-0.285755
7.9,-0.763922,-0.110155,0.178152,-0.226824,0.334216,-0.295020
8.0,-0.747318,-0.079001,0.214132,-0.266708,0.326952,-0.299538
8.1,-0.727706,-0.047528,0.249249,-0.302300,0.318371,-0.299236
8.2,-0.705163,-0.015864,0.283363,-0.333028,0.308509,-0.294119
8.3,-0.679780,0.015864,0.316335,-0.358398,0.297404,-0.284270
8.4,-0.651661,0.047528,0.348034,-0.378000,0.285102,-0.269847
8.5,-0.620917,0.079001,0.378332,-0.391521,0.271651,-0.251081
8.6,-0.587673,0.110155,0.407106,-0.398742,0.257107,-0.228276
8.7,-0.552063,0.140866,0.434240,-0.399547,0.241528,-0.201798
8.8,-0.514230,0.171010,0.459627,-0.393923,0.224976,-0.172073
8.9,-0.474326,0.200465,0.483162,-0.381961,0.207518,-0.139579
9.0,-0.432513,0.229113,0.504752,-0.363853,0.189224,-0.104839
9.1,-0.388957,0.256839,0.524310,-0.339890,0.170169,-0.068413
9.2,-0.343836,0.283530,0.541756,-0.310459,0.150428,-0.030885
9.3,-0.297330,0.309079,0.557021,-0.276032,0.130082,0.007139
9.4,-0.249627,0.333385,0.570043,-0.237163,0.109212,0.045049
9.5,-0.200918,0.356347,0.580769,-0.194479,0.087902,0.082234
9.6,-0.151401,0.377875,0.589157,-0.148665,0.066238,0.118095
9.7,-0.101274,0.397881,0.595173,-0.100459,0.044307,0.152056
9.8,-0.050739,0.416285,0.598792,-0.050637,0.022198,0.183571
9.9,-0.000000,0.433013,0.600000,-0.000000,0.000000,0.212132
